treatment,type,delta,ATE_delta,ATE_per_unit,n
season_type_binary,binary,1.0,-0.02288613637677846,-0.02288613637677846,12449
is_4th_qtr,binary,1.0,-0.011410409551459865,-0.011410409551459865,12449
surface_binary,binary,1.0,-0.004365093736280003,-0.004365093736280003,12449
roof_binary,binary,1.0,0.019942632544258994,0.019942632544258994,12449
is_rain,binary,1.0,0.030333516921624074,0.030333516921624074,12449
buzzer_beater_binary,binary,1.0,0.04322123457671805,0.04322123457671805,12449
is_snow,binary,1.0,0.04769365660793338,0.04769365660793338,12449
career_fg_pct,continuous,1.0,-0.02217779110986688,-0.02217779110986688,12449
score_differential,continuous,3.0,-0.00246174271883427,-0.00082058090627809,12449
temp,continuous,5.0,-0.0025464507101799418,-0.0005092901420359884,12449
career_attempts,continuous,50.0,-0.0006872798014641777,-1.3745596029283555e-05,12449
altitude,continuous,1000.0,-0.0029033599146964808,-2.903359914696481e-06,12449
wind,continuous,5.0,0.007318066366303118,0.0014636132732606237,12449
kick_distance,continuous,1.0,0.011040918688405978,0.011040918688405978,12449
vegas_wp_effective,continuous,0.1,0.003242910163966109,0.03242910163966108,12449
